" Copy"," Copiar"
"No subscribers selected.","Nenhuma assinatura selecionada."
"Not Activated","Sem Atividade"
"Not Sent","Não Enviado"
"Pause","Parar"
"Paused","Parado"
"Please enter a valid email address.","Informe um email válido."
"Please enter new template name","Informe um nome para o modelo"
"Please refer to exeption.log","Verifique o arquivo exeption.log"
"Please select subscriber(s)","Selecione as assinaturas"
"Preview","Visualizar"
"Preview Template","Visualizar Modelo"
"Processed","Processado"
"Queue Date Start","Iniciar Envio"
"Queue Finish","Envio Finalizado"
"Queue Information","Informações de Envio"
"Queue Newsletter...","Enviar Newsletter..."
"Queue Start","Envio Iniciado"
"Queue Subject","Assunto"
"Recipients","Assinantes"
"Reset","Reiniciar"
"Resume","Resumir"
"Return HTML Version","Retornar p/ Versão Html"
"Save As","Salvar Como..."
"Save Newsletter","Enviar Newsletter"
"Save Template","Salvar"
"Save and Resume","Salvar e Continuar"
"Selected problem subscribers have been unsubscribed.","Problemas selecionados de assinatura cancelados."
"Selected problems have been deleted.","Problemas selecionados foram excluídos."
"Sender","Remetente"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Assine Nossa Newsletter:"
"Sign up for our newsletter","Assine nossa newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Não é permitido assinatura de visitantes. Você precisa <a href=""%s"">criar uma conta</a>."
"Start","Iniciar"
"Status","Status"
"Store","Loja"
"Store View","Visão"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Ativo"
"Subscriber","Assinatura"
"Subscribers","Assinaturas"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de Assinatura"
"Success Email Sender","Remetente de Email"
"Success Email Template","Modelo de Email"
"Template Content","Conteúdo do Modelo"
"Template Information","Informação do Modelo"
"Template Name","Nome do Modelo"
"Template Styles","Estilos do Modelo"
"Template Subject","Assunto do Modelo"
"Template Type","Tipo do Modelo"
"Thank you for your subscription.","Obrigado por assinar nossa newsletter."
"The subscription has been removed.","A assinatura foi removida."
"The subscription has been saved.","A assinatura foi salva."
"There was a problem with the subscription.","Ocorreu um problema com a assinatura."
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com cancelamento."
"This email address is already assigned to another user.","Este email já esta sendo usado por outro usuário."
"Type","Tipo"
"Unconfirmed","Não confirmado"
"Unsubscribe","Cancelar"
"Unsubscribe Selected","Cancelamentos Selecionados"
"Unsubscribed","Inativo"
"Unsubscription Email Sender","Remetente de Email p/ Cancelamentos"
"Unsubscription Email Template","Modelo de Email p/ Cancelamentos"
"View Newsletter","Visualizar Newsletter"
"Website","Website"
"You have been unsubscribed.","Você foi retirado da lista de assinantes."
"Your subscription has been confirmed.","Sua assinatura foi confirmada."
