"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Produto(s)"
"%s and above","%s e acima"
"%s-%s of %s","%s-%s of %s"
"%s is available for purchase in increments of %s","%s está disponível somente na quantidade mínima de %s itens"
"Field is not complete","Campo não está completo"
"File options format is not valid.","Formato das opções de arquivo não é válido."
"File upload failed","Falha ao enviar arquivo"
"Filter","Filtro"
"Filter model name must be declared.","Nome do modelo de filtro precisa ser declarado."
"Filter must be an object. Please set correct filter.","Filtro precisa ser um objeto. Marque o filtro corretamente."
"Filterable (no results)","Filtrar (mesmo sem resultados)"
"Filterable (with results)","Filtrar (apenas com resultados)"
"First Name","Nome"
"Fixed","Fixado"
"For internal use.","Para uso interno."
"For the last time placed.","Adicionado pela última vez."
"Frontend","Frontend"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Get full information about attribute with list of options","Recuperar toda informação sobre o atributo com lista de opções"
"Get full information about custom option in product","Recuperar toda informação sobre opção personalizada do produto"
"Get list of available custom option types","Recuperar lista de tipos de opção personalizadas disponíveis"
"Get list of non-default attributes by product type and attributes set","Recuperar lista de atributos não-padrão por tipo de produto e grupo de atributos"
"Get list of possible attribute types","Recuperar lista de possíveis tipos de atributos"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir p/ Página Inicial"
"Grid","Tabela"
"Group add","Adicionar grupo"
"Group remove","Excluir grupo"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vazio, o nome da Categoria será usado"
"If empty, the Product Name will be used","Se vazio, o nome do Produto será usado"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não informar um valor para as opções disponíveis então o valor padrão (Admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","Imagem não contem dados base64 válidos."
"Image does not exist.","Imagem não existe."
"Image file was not found.","Arquivo de imagem não encontrado."
"Image type and information need to be specified for each store view.","O tipo de imagem e informação precisam ser informadas para cada visão."
"In Cart","No Carrinho"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Incl. Tax","Incl. Imposto"
"Index product and categories URL rewrites","Indexar reescrita de URL p/ produtos e categorias"
"Index product attributes for layered navigation building","Indexar atributos do produto p/ navegação em camadas"
"Index product prices","Indexar preços do produto"
"Indexed category/products association","Associação entre categorias e produtos indexados"
"Info","Info"
"Info Column Options Wrapper","Info Pacote de Opções da Coluna"
"Input Type","Tipo de Campo"
"Integer","Inteiro"
"Interval Division Limit","Limite Divisão Intervalo"
"Invalid Tier Prices","Faixa de Preços Inválida"
"Invalid attribute %s","Atributo Inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido para o atributo selecionado %s (%s), ignorando registro."
"Invalid attribute set specified, skipping the record.","Atributo selecionado inválido, ignorando registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs de categoria inválida."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo do arquivo de imagem inválida."
"Invalid image type.","Tipo de imagem inválida."
"Invalid option ID specified for %s (%s), skipping the record.","Opção de id selecionada inválida para %s (%s), ignorando registro."
"Invalid product type specified, skipping the record.","Tipo de produto selecionado inválido, ignorando registro."
"Invalid store specified","Loja selecionada inválida"
"Invalid store specified, skipping the record.","Loja selecionada inválida, ignorando registro."
"Invalid tier prices. The product is not associated to the requested website.","Faixa de preços inválida. Produto não está associado ao website informado."
"Inventory","Estoque"
"Is Default","Padrão"
"Is Required","Obrigatório"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produtos que você não deseja exibir no catálogo ou nos resultados de busca precisam ter o status 'Desabilitado' nas opções da loja."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produtos que você não quer exibir no catálogo ou nos resultados de busca precisam ter o status 'Desabilitado' nas opções da loja."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique de olhos abertos nas promoções de volta as aulas e economize MUITO!"
"Label","Descrição"
"Last Name","Sobrenome"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Detalhes"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionado, Venda Agregada, Venda Cruzada)"
"Link product does not exist.","Link do produto não existe."
"Link to a Specified Category","Link p/ Categoria Informada"
"Link to a Specified Product","Link p/ Produto Informado"
"List","Lista"
"List Mode","Forma de Exibir os Produtos"
"List of Products that are set as New","Lista de Produtos que você marcou como Novo"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gerenciar Grupo de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Descrição/Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Product Attributes","Gerenciar Atributos do Produto"
"Manage Product Sets","Gerenciar Grupos de Produto"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Descrição (Tamanho, Cor, etc.)"
"Max Characters","Máx. Caracteres"
"Maximal Depth","Profundidade Máxima"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho"
"Maximum allowed image size for '%s' is %sx%s px.","Tamanho máximo permitido p/ imagem de '%s' é %sx%s px."
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de preço é 100"
"Maximum width base product image will be scaled down to in pixels","A largura máxima da imagem base será alterada para pixels"
"Maximum width small product image will be scaled down to in pixels","A largura máxima da imagem reduzida será alterada para pixels"
"Media Image","Mídia de Imagem"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtd Mínima p/ Indicar que o Produto está Esgotado"
"Missing SKU, skipping the record.","Faltando SKU, ignorar registro."
"More Views","Mais Imagens"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Precisa estar na lista de valores permitidos."
"My Account","Minha Conta"
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome Em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Template Tabela de Novos Produtos"
"New Products List Template","Template Lista de Novos Produtos"
"New Root Category","Nova Categoria Principal"
"New Search","Nova Pesquisa"
"New Set Name","Novo Nome Grupo"
"New Subcategory","Nova SubCategoria"
"New products","Novos Produtos"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualizações de leiaute"
"No options of this product are available.","Nenhuma opção está disponível para este produto."
"No product collections found.","Nenhuma coleção de produtos encontrada."
"None","Nenhum"
"Not Visible Individually","Não Exibir Individualmente"
"Notify Low Stock RSS","RSS Notificar Baixo Estoque"
"Notify for Quantity Below","Avisar sobre Quantidade Baixa"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos p/ Exibir"
"Number of Uses","Número de Usos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Para último colocado)"
"OK","OK"
"OR","OU"
"Old Price:","Preço Original:"
"On Gesture","Em Sinal"
"Option validation failed to add product to cart.","Falha ao validar opção p/ adicionar produto no carrinho."
"Option values","Valores da opção"
"Option:","Opção:"
"Options","Opções"
"Options Control","Controle de Opções"
"Options is required","Opção obrigatória"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nossos serviços estão disponíveis 24/7. Entre em contato (555) 555-0123."
"Out of Stock","Sem Estoque"
"Out of stock","Sem estoque"
"PM","PM"
"Page Title Separator","Separador de Título da Página"
"Parent Category","Categoria Acima"
"Pending","Pendente"
"Pending Reviews RSS","RSS Comentários Pendentes"
"Percentage","Porcentagem"
"Please add rows to option.","Adicionar linhas para opções."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Atenção, ao clicar na linha todos os dados do pacote serão carregados no formulário selecionado e os dados que não foram salvos serão perdidos."
"Please click on the Close Window button if it is not closed automatically.","Clique em Fechar Janela se você não deseja fechar automaticamente."
"Please enter a new group name","Informe o nome do grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Atualize ""Reescrita de URL de Catálogos"" e ""Atributo dos Produtos"" em Sistema -> <a href=""%s"">Gerenciador de Índeces</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Atualize ""Reescrita de URL de Catálogos"" e ""Atributo dos Produtos"" em Sistema -> <a href=""%s"">Gerenciador de Índeces</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Atualize ""Atributos dos Produtos"" em Sistema -&gt; <a href=""%s"">Gerenciador de Índeces</a>"
"Please select a static block ...","Selecione um bloco estático..."
"Please select items.","Selecione os produtos."
"Please select one or more attributes.","Selecione um ou mais atributos."
"Please select product(s).","Selecione produto(s)."
"Please select products for attributes update","Selecione produtos para atualizar atributos"
"Please set up merge date/time","Informe uma data/hora para o merge"
"Please set up merge date/time later then present date","Informe uma data/hora superior a data de hoje"
"Please specify date required option(s).","Informe as opções de data obrigatória."
"Please specify the number of products, that will not be divided into subintervals.","Informe o número de produtos, não será dividido entre os sub-intervalos."
"Please specify the product required option(s)","Algumas opções são obrigatórias"
"Please specify the product required option(s).","Algumas opções são obrigatórias."
"Please specify the product\'s option(s).","Informe as opções dos produtos."
"Please specify the product\'s required option(s).","Informe as opções obrigatórias dos produtos."
"Please specify the quantity of product(s).","Informe a quantidade de produto(s)."
"Please specify time required option(s).","Informe a opção tempo obrigatória."
"Please wait...","Aguarde..."
"Position","Relevância"
"Position in Layered Navigation","Posição na Camada de Navegação"
"Position of attribute in layered navigation block","Ordem de exibição na área de navegação"
"Prev","Anterior"
"Previous","Anterior"
"Price","Preço"
"Price Navigation Step Calculation","Navegação de Preço Etapa de Cálculo"
"Price Type","Tipo de Preço"
"Price is not available","Preço não está disponível"
"Price values for options should be specified in system base currency.","Opções para valores de Preços precisam ser informados no sistema de moeda base."
"Price:","Preço:"
"Price: %s","Preço: %s"
"Print This Page","Imprimir Página"
"Product","Produto"
"Product API","API Produto"
"Product Alerts","Alerta de Produtos"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos do Produto"
"Product Categories","Categorias do Produto"
"Product Description","Descrição"
"Product Extra Info","Info Extra Produto"
"Product Flat Data","Produto Unificado"
"Product ID","ID Produto"
"Product Image Placeholders","Substituto de Imagens"
"Product Image Watermarks","Marca D'água dos Produtos"
"Product Images","Imagens do Produto"
"Product Images API","API Imagens do Produto"
"Product In Websites","Produto Em Websites"
"Product Info Column","Info Coluna de Produto"
"Product Information","Informação de Produto"
"Product Link Block Template","Template Bloco de Link p/ Produto"
"Product Link Inline Template","Template Inline de Link p/ Produto"
"Product Listing Sort by","Listando Produtos pela Ordem"
"Product Name","Nome do Produto"
"Product Prices","Preços do Produto"
"Product Reviews","Comentários do Produto"
"Product Tags","Tags do Produto"
"Product Tier Price API","API Faixa de Preços do Produto"
"Product Type","Tipo de Produto"
"Product URL Suffix","Sufixo da URL do Produto"
"Product View Extra Hint","Visualizar Dica Extra do Produto"
"Product attribute sets API","API Marcação dos atributos do Produto"
"Product attributes API","API Atributos do Produto"
"Product collection expected.","Coleção de produtos esperado."
"Product is not loaded","Produto não carregado"
"Product links API (related, cross sells, up sells)","API Links do Produto (Relacionado, Venda Agregada, Venda Cruzada)"
"Product types API","API Tipos de Produto"
"Product with this combination of attributes already associated to configurable.","Produto com estas combinações de atributos já está associado para configurados."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
