"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Tipo de modelo entity precisa ser uma instância de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Tipo de modelo entity precisa ser uma instância de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: informações misturadas"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: códigos de entidade misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limite de (%d) erros atingido. Resolva os problemas e tente enviar o arquivo novamente"
"Export","Exportar"
"Export FAQ","Exportar FAQ"
"Export File Format","Formato de Arquivo para Exportação"
"Export Settings","Configurações de Exportação"
"Export has been done.","Exportação concluída."
"Exported %s rows.","Exportado %s linhas."
"FAQ","FAQ"
"File does not contain data.","Arquivo não contém dados."
"File does not contain data. Please upload another one","Arquivo não contém dados. Informe outro arquivo"
"File format is unknown","Formato de arquivo desconhecido"
"File is partially valid, but import is not possible","Arquivo é parcialmente válido, mas impossível de importar"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Corrija o arquivo e envie novamente"
"File is valid! To start import process press ""Import"" button","Arquivo válido! Para iniciar o processo de importação clique no botão ""Importar"""
"File is valid, but import is not possible","Arquivo válido, mas impossível de importar"
"File was not uploaded","Arquivo não foi enviado"
"Filter","Filtro"
"From","De"
"Header column names already set","Nome do cabeçalho da coluna já foi informado"
"Import","Importar"
"Import Behavior","Procedimento de Importação"
"Import Settings","Configurações de Importação"
"Import has been done successfuly.","Importação efetuada com sucesso."
"Import / Export FAQ (Frequently Asked Questions)","FAQ Importar / Exportar (Perguntas Frequentes)"
"Import FAQ","Importar FAQ"
"Import successfully done.","Importação realizada."
"Import/Export","Importar/Exportar"
"In/Out","Dentro/Fora"
"Input entity code is not equal to entity adapter code","Código entity informado não é igual ao código entity adapter"
"Invalid entity","Entity inválida"
"Invalid entity model","Modelo de entity inválido"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição de busca inválida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para coluna '%s'"
"No filter data provided","Não filtrar dados fornecidos"
"No source specified","Nenhuma fonte informada"
"No valid data sent","Nenhum dado válido enviado"
"No writer specified","Nenhum escritor informado"
"Node does not has model token tag","A ligação não possui nenhuma tag modelo de token"
"Not implemented yet","Não implementado ainda"
"Please fix errors and re-upload file","Corrija os erros e envie novamente"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Corrija os erros e envie novamente ou apenas clique em ""Importar"" para ignorer as linhas com erros"
"Products","Produtos"
"Replace Existing Complex Data","Substituir Dados Complexos Existentes"
"Select File to Import","Selecionar Arquivo para Importação"
"Skip","Ignorar"
"Some other FAQ","Algumas outras perguntas FAQ"
"Source file moving failed","Falha ao mover arquivo de origem"
"Source file path must be a string","Caminho do arquivo de origem precisa ser uma string"
"Source is not set","Caminho não foi informado"
"Status","Status"
"System busy","Sistema ocupado"
"There are no product types available for export","Não existem tipos de produtos disponíveis para exportação"
"There is no data for export","Não existem dados para exportar"
"To","Para"
"Total size of uploadable files must not exceed %s","O tamanho total de arquivos para envio não pode ultrapassar %s"
"Unknown attribute filter type","Tipo de filtro do produto desconhecido"
"Uploaded file has no extension","Arquivo enviado não possui extensão"
"Validation Results","Resultados da Validação"
"Validation finished successfully","Validação finalizada com sucesso"
"in rows","em linhas"
"in rows:","em linhas:"
