"Ordered Qty","Qtd Solicitada"
"Orders","Pedidos"
"Original Price","Preço Original"
"Parent Order Item ID","ID Produto Pedido Principal"
"Payment Method","Forma de Pagamento"
"Phone Number","Telefone"
"Placed from IP","IP"
"Please enter a valid number in ""max_sale_qty"" field","Informe um número válido para o campo ""max_sale_qty"" "
"Please enter a valid number in ""min_qty"" field","Informe um número válido para o campo ""min_qty"" "
"Please enter a valid number in ""min_sale_qty"" field","Informe um número válido para o campo ""min_sale_qty"" "
"Please enter a valid number in ""notify_stock_qty"" field","Informe um número válido para o campo ""notify_stock_qty"" "
"Please use numbers only in ""category_id"" field.","Informe apenas números no campo ""category_id"" ."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Informe apenas números no campo  ""qty_increments"". Evite espaços ou outros caracteres como pontos e vírgulas."
"Position","Posição"
"Price","Preço"
"Price Including Tax","Preço Incluindo Imposto"
"Product","Produto"
"Product Category","Categoria do Produto"
"Product ID","ID do Produto"
"Product Image","Imagem do Produto"
"Product Type","Tipo do Produto"
"Product URL","URL do Produto"
"Product Website","Website do Produto"
"Product and Custom Options Name","Produto e Nome das Opções Personalizadas"
"Qty","Qtd"
"Qty Increments","Qtd Mínima"
"Qty Uses Decimals","Qtd com Casas Decimais"
"Qty for Item's Status to Become Out of Stock","Qtd p/ Produto Ser Considerado Sem Estoque"
"REST - Attributes","REST - Atributos"
"REST - Roles","REST - Cargos"
"REST ACL Attributes","REST ACL Atributos"
"REST Attributes","REST Atributos"
"REST Role","REST Cargo"
"REST Roles","REST Cargos"
"REST Roles Information","REST Informação de Cargos"
"Read","Ler"
"Refunded Qty","Qtd Reembolsado"
"Regular Price With Tax","Preço Normal Com Imposto"
"Regular Price Without Tax","Preço Normal Sem Imposto"
"Rest Roles","Cargos em Pausa"
"Retrieve","Restaurar"
"Role ""%s"" no longer exists","Cargo ""%s"" não existe mais"
"Role ""%s"" not found.","Cargo ""%s"" não encontrado."
"Role API Resources","API Recursos do Cargo"
"Role Info","Info Cargo"
"Role Information","Informação de Cargo"
"Role Name","Nome do Cargo"
"Role Users","Usuários do Cargo"
"Role has been deleted.","Cargo foi excluido."
"Roles","Cargos"
"SKU","SKU"
"Salability Status","Status Salability"
"Sales","Vendas"
"Save","Salvar"
"Shipped Qty","Qtd Enviada"
"Shipping Amount","Total Entrega"
"Shipping Discount","Desconto Entrega"
"Shipping Including Tax","Entrega Incluindo Imposto"
"Shipping Method","Forma de Entrega"
"Shipping Tax","Imposto de Entrega"
"State","Estado"
"Stock Availability","Estoque Disponível"
"Stock ID","ID do Estoque"
"Stock Item","Produto Estoque"
"Stock Status","Status do Estoque"
"Store Currency to Order Currency Rate","Moeda da Loja p/ Imposto do Pedido"
"Store Name","Nome da Loja"
"Street","Rua"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal Incluindo Imposto"
"System","Sistema"
"Tax Amount","Valor Imposto"
"Tax Name","Nome do Imposto"
"Tax Percent","Imposto Percentual"
"Tax Rate","Taxa de Imposto"
"The ""enable_qty_increments"" field must be set to 0 or 1.","O campo ""enable_qty_increments"" precisa ser 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","O campo ""is_decimal_divided"" precisa ser 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","O campo ""is_in_stock"" precisa ser 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","O campo ""is_qty_decimal"" precisa ser 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","O campo ""is_qty_decimal"" precisa ser 0, 1, ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","O campo ""manage_stock"" precisa ser 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","O campo ""stock_status_changed_auto"" precisa ser 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","O campo ""use_config_backorders"" precisa ser 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","O campo ""use_config_enable_qty_inc"" precisa ser 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","O campo ""use_config_manage_stock"" precisa ser 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_max_sale_qty"" precisa ser 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","O campo ""use_config_min_qty"" precisa ser 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_min_sale_qty"" precisa ser 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","O campo ""use_config_notify_stock_qty"" precisa ser 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","O campo ""use_config_qty_increments"" precisa ser 0 ou 1."
"The attribute rules were saved.","As regras do atributo foram salvas."
"The role has been saved.","O cargo foi salvo."
"The role is a special one and not for assigning it to admin users.","O cargo é especial e não pode ser associado à usuários administradores."
"Total Due","Total Devido"
"Total Paid","Total Pago"
"Total Refunded","Total Reembolsado"
"Total Reviews Count","Total de Comentários"
"Type","Tipo"
"URL","URL"
"Update","Atualizar"
"Use Config Settings for Allow Gift Message","Usar Informações de Configuração p/ Permitir Mensagem de Presente"
"Use Config Settings for Allow Gift Wrapping","Usar Informações de Configuração p/ Permitir Pacote de Presente"
"Use Config Settings for Backorders","Usar Informações de Configuração p/ Pedidos Cancelados"
"Use Config Settings for Enable Qty Increments","Usar Informações de Configuração p/ Habilitar Qtd Mínima"
"Use Config Settings for Manage Stock","Usar Informações de Configuração p/ Gerenciar Estoque"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Usar Informações de Configuração p/ Qtd Máxima Permitida no Carrinho"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Usar Informações de Configuração p/ Qtd Mínima Permitida no Carrinho"
"Use Config Settings for Notify for Quantity Below","Usar Informações de Configuração p/ Notificar Quantidade Abaixo de"
"Use Config Settings for Qty Increments","Usar Informações de Configuração p/ Qtd Mínima"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Usar Informações de Configuração p/ Qtd Produto Ser Considerado Sem Estoque"
"User Type","Tipo de Usuário"
"User type ""%s"" no longer exists","Tipo de usuário ""%s"" não existe mais"
"User type ""%s"" not found.","Tipo de usuário ""%s"" não encontrado."
"Web Services","Web Services"
"Web services","Web services"
"Write","Escrever"
"ZIP/Postal Code","CEP"
