" or "," ou "
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao tentar salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida de ID foi informada para %s (%s), ignorando registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Deseja cancelar este endereço?"
"Are you sure you want to delete this address?","Deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Array da coleção de entidades é esperado."
"Assign a Customer Group","Associar ao Grupo..."
"Average Sale","Venda Média"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página anterior"
"Back to Login","Voltar"
"Bad request.","Problemas."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Baseado no ID do imposto, o cliente deve pertencer ao Grupo de Clientes %s."
"Bill to Name","Nome de Cobrança"
"Bought From","Comprados"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta em nossa loja, você será capaz de fechar pedidos com mais agilidade, cadastrar diversos endereços, acompanhar seus pedidos, entre outras vantagens."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save a new password.","Não foi possível salvar a nova senha."
"Cannot save address.","Não foi possível salvar o endereço."
"Cannot save the customer.","Não foi possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar o cliente em uma conta global. Porque algumas contas de cliente usam o mesmo email em outros websites e isso impede a união."
"Change Account Password","Alterar Senha da Conta"
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Password","Alterar Senha"
"Change Shipping Address","Alterar Endereço de Entrega"
"City","Cidade"
"Company","Profissão"
"Config","Config"
"Configure","Configurar"
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Confirmation Link Email","Email com Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções ao Criar Nova Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar Conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço cliente"
"Current Admin Password","Senha Atual"
"Current Password","Senha Atual"
"Customer","Cliente"
"Customer API","API Cliente"
"Customer Account Edit Form","Formulário de Edição p/ Conta de Cliente"
"Customer Account Login Form","Formulário de Login p/ Conta de Cliente"
"Customer Account Logout Success","Usuário Desconectado com Sucesso"
"Customer Account Registration Form","Formuláro de Cadastro p/ Conta de Cliente"
"Customer Addresses","Endereços do Cliente"
"Customer Configuration","Configurações"
"Customer Forgot Password Form","Formulário de Recuperação de Senha p/ Cliente"
"Customer Group","Grupo do Cliente"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informações do Cliente"
"Customer Login","Login de Cliente"
"Customer My Account (All Pages)","Conta do Cliente (Todas as Páginas)"
"Customer My Account Address Book","Endereços Cadastrados na Conta do Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereços na Conta do Cliente"
"Customer My Account Dashboard","Painel Geral da Conta do Cliente"
"Customer Since","Cliente Desde"
"Customer View","Detalhes"
"Customer collection expected.","Coleção de cliente é esperado."
"Customer email is required.","Email do cliente é obrigatório."
"Customer website ID must be specified when using the website scope.","ID do website do cliente precisa ser informado, quando usar escopo website."
"Customer will stay on the current page if ""No"" is selected.","Cliente ficará na mesma página se ""Não"" for selecionado."
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Seção Clientes"
"DD","DD"
"Date","Data"
"Date Added","Adicionado na Data"
"Date of Birth","Data de Nascimento"
"Day","Dia"
"Days in Wishlist","Dias na Lista"
"Default Addresses","Endereço Principal"
"Default Billing Address","Endereço de Cobrança Principal"
"Default Email Domain","Domínio do Email Padrão"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço de Entrega Principal"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Desabilitar Mudança de Grupo p/ Clientes"
"Default Welcome Email","Email Padrão de Boas-Vindas"
"Delete","Excluir"
"Delete Address","Excluir"
"Delete Customer","Excluir"
"Delete Customer Group","Excluir"
"Delete customer","Excluir"
"Delete customer address","Excluir"
"Deleted Stores","Excluir Lojas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar Dados de Acesso"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Group ""%s""","Editar Grupo ""%s"""
"Edit Customer Groups","Editar Grupos"
"Edit Customer's Address","Editar Endereço dos Clientes"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Email Address","Email"
"Email Sender","Remetente"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Gerenciar Cadastro de Grupos Automaticamente"
"Entity collection is expected.","Coleção de entidades é esperado."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falha ao confirmar conta de cliente."
"Fax","Celular"
"First Name","Nome"
"Forgot Email Template","Informe o Modelo de Email"
"Forgot Password","Esqueceu a Senha"
"Forgot Your Password","Esqueceu Sua Senha"
"Forgot Your Password?","Esqueceu Sua Senha?"
"Forgot and Remind Email Sender","Remetente p/ Esqueceu a Senha"
"Form Fields Before","Primeiro Campos do Formulário"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aqui é possível ver um resumo das suas atividades e atualizar suas informações. Escolha um dos links abaixo para visualizar ou editar suas informações."
"Gender","Sexo"
"Gender is required.","Sexo é obrigatório."
"General Subscription","Assinatura Geral"
"Generate Human-Friendly Customer ID","Gerar ID Amigável p/ Cliente"
"Global","Todas as Lojas"
"Group","Grupo"
"Group Information","Informações de Grupo"
"Group Name","Nome"
"Group for Invalid VAT ID","Grupo de CPF/CNPJ Inválidos"
"Group for Valid VAT ID - Domestic","Grupo com CPF Válido"
"Group for Valid VAT ID - Intra-Union","Grupo com CNPJ Válido"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","Olá, %s!"
"ID","ID"
"IP Address","IP"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se houver uma conta associada a este %s você receberá um email com link para refazer sua senha."
"If you believe this is an error, please contact us at %s","Se você acredita que encontrou um erro, entre em contato %s"
"If you have an account with us, please log in.","Se você já possui uma conta, informe os dados de acesso."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido informado para o atributo %s (%s), ignorar registro."
"Invalid attribute set specified, skipping the record.","Atributo selecionado é inválido, ignorando registro."
"Invalid billing address for (%s)","Endereço de cobrança inválido para (%s)"
"Invalid current password","Senha atual é inválida"
"Invalid customer data","Informações de cliente é inválida"
"Invalid email address ""%s"".","Email inválido ""%s""."
"Invalid email address.","Email é inválido."
"Invalid login or password.","Login ou senha inválido(s)."
"Invalid password reset token.","Código p/ alterar senha é inválido."
"Invalid shipping address for (%s)","Endereço de entrega inválido para (%s)"
"Invalid store specified, skipping the record.","Loja informada é inválida, ignorando registro."
"Invalid website, skipping the record, line: %s","Website inválido, ignorando registro, linha: %s"
"Last Activity","Última Atividade"
"Last Date Subscribed","Data da Última Assinatura"
"Last Date Unsubscribed","Data do Último Cancelamento de Assinatura"
"Last Name","Sobrenome"
"Last URL","Última URL"
"Leave empty for default (15 minutes).","Deixe em branco p/ padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixe em branco p/ padrão (2). Faixa válida: 1-4"
"Lifetime Sales","Ciclo de Vendas"
"Log In","Entrar"
"Log Out","Sair"
"Login","Entrar"
"Login Information","Dados de Acesso"
"Login Options","Opções de Login"
"Login and password are required.","Login e senha são obrigatórios."
"Login or Create an Account","Cadastre-se ou Acesse sua Conta"
"MM","MM"
"Manage Addresses","Gerenciar Endereços"
"Manage Customers","Gerenciar Clientes"
"Maximum length must be less then %s symbols","Tamanho máximo precisa ser menor que %s símbolos"
"Missing email, skipping the record, line: %s","Faltando email, ignorando registro, linha: %s"
"Missing email, skipping the record.","Faltando email, ignorando registro."
"Missing first name, skipping the record, line: %s","Faltando nome, ignorando registro, linha: %s"
"Missing firstname, skipping the record.","Faltando nome, ignorando registro."
"Missing last name, skipping the record, line: %s","Faltando sobrenome, ignorando registro, linha: %s"
"Missing lastname, skipping the record.","Faltando sobrenome, ignorando registro."
"Missing website, skipping the record, line: %s","Faltando website, ignorando registro, linha: %s"
"Month","Mês"
"My Account","Minha Conta"
"My Account Wrapper","Resumo de Conta"
"My Dashboard","Painel Geral"
"My Orders","Meus Pedidos"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address","Novo Endereço"
"New Address Entry","Novo Cadastro de Endereço"
"New Customer","Criar Cliente"
"New Customer Address","Novo Endereço de Cliente"
"New Customer Group","Novo Grupo de Clientes"
"New Customer Groups","Novos Grupos de Clientes"
"New Customers","Cadastre-se"
"New Group","Novo Grupo"
"New Password","Nova Senha"
"New account","Nova conta"
"New account confirmation key","Nova chave de confirmação de conta"
"New account confirmed","Nova conta confirmada"
"New password field cannot be empty.","Campo Nova Senha deve ser preenchido."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Terminado"
"Newsletter Information","Informação de Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Newsletter Iniciado"
"Newsletter Subscription","Assinatura de Newsletter"
"Newsletters","Newsletters"
"No Items Found","Nenhum Item Encontrado"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"No customer collections found","Nenhuma coleção de cliente encontrado"
"No item specified.","Nenhum item informado."
"Not Sent","Não Enviado"
"Not confirmed, can login","Não confirmado, pode acessar a conta"
"Not confirmed, cannot login","Não conformado, não pode acessar a conta"
"Number of Lines in a Street Address ","Número de Linhas p/ Endereço "
"Offline","Offline"
"Online","Online"
"Online Customers","Clientes Online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Verificar em Intervalos"
"Order #","Pedido #"
"Order Total","Total do Pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Senha"
"Password Management","Gerenciar Senha"
"Password Options","Opções de Senha"
"Password forgotten","Senha esquecida"
"Password:","Senha:"
"Paused","Parado"
"Pending","Pendente"
"Per Website","Por Website"
"Personal Information","Dados Pessoais"
"Please enter a number 1 or greater in this field.","Informe um número igual ou superior a 1."
"Please enter a valid date between %s and %s at %s.","Informe uma data válida entre %s e %s até %s."
"Please enter a valid date equal to or greater than %s at %s.","Informe uma data válida que seja igual ou maior que %s até %s."
"Please enter a valid date less than or equal to %s at %s.","Informe uma data válida que seja igual ou menor que %s até %s."
"Please enter the city.","Informe a cidade."
"Please enter the country.","Informe o País."
"Please enter the first name.","Informe o nome."
"Please enter the last name.","Informe o sobrenome."
"Please enter the state/province.","Informe o estado."
"Please enter the street.","Informe a rua."
"Please enter the telephone number.","Informe um número de telefone."
"Please enter the zip/postal code.","Informe o CEP."
"Please enter your email address below. You will receive a link to reset your password.","Informe seu email abaixo. Você receberá um link para alterar sua senha."
"Please enter your email below and we\'ll send you confirmation link for it.","Informe seu email e enviaremos um link de confirmação para isso."
"Please enter your email.","Informe seu email."
"Please make sure your passwords match.","Verifique se repetiu a senha corretamente."
"Please select a website which contains store view","Selecione um website que possua uma visão de loja"
"Please select region, state or province","Selecione o Estado..."
"Please, check your email for confirmation key.","Verifique a chave de confirmação no seu email."
"Please type the letters below","Informe os caracteres da imagem abaixo"
"Prefix Dropdown Options","Opções de Prefixo do Combobox"
"Price","Preço"
"Product","Produto"
"Product ID","ID do Produto"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Product Tags","Tags do Produto"
"Purchase On","Comprado Em"
"Purchased On","Comprado Em"
"Purchased At","Comprado Em"
"Qty","Quantidade"
"Recent Orders","Últimos Pedidos"
"Records for %s store found.","Registros para loja %s encontrado(s)."
"Recovery Link Expiration Period (days)","Recuperar Período de Links Expirados (dias)"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar o Cliente p/ Painel da Conta depois de efetuar login"
"Refunded","Reembolsado"
"Register","Cadastrar"
"Registered Customers","Clientes Registrados"
"Remind Email Template","Template de Email Lembrete"
"Remind Password","Lembrar Senha"
"Remove","Excluir"
"Require Emails Confirmation","Necessário Confirmar por Email"
"Require admin user to change user password","Necessário acesso de admin para alterar a senha"
"Reset a Password","Alterar Senha"
"Retrieve address data","Recuperar informações de endereço"
"Retrieve address info","Recuperar informações de endereço"
"Retrieve customer addresses","Recuperar endereços de cliente"
"Retrieve customer data","Recuperar dados de cliente"
"Retrieve customer groups","Recuperar grupos de cliente"
"Retrieve customer info","Recuperar informações de cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recuperar link de confirmação aqui"
"Retrieve your password here","Recuperar sua senha aqui"
"SKU","SKU"
"Sales Statistics","Estatísticas de Venda"
"Save","Salvar"
"Save Address","Salvar"
"Save Customer","Salvar"
"Save Customer Group","Salvar"
"Save Password","Salvar Senha"
"Save and Continue Edit","Salvar e Continuar Editando"
"Saved %d record(s)","Salvo %d registro(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Ponto e vírgula (;) separa valores.<br/>Coloque ponto e vírgula no início para deixar primeira opção em branco.<br/>Deixe em branco para abrir campo de texto."
"Send Auto-Generated Password","Gerar e Enviar Senha"
"Send From","Enviar De"
"Send Welcome Email","Enviar Email de Boas-Vindas"
"Send Welcome Email after Confirmation","Enviar Email de Boas-Vindas Após Confirmação"
"Send confirmation link","Enviar link de confirmação"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de Entrada"
"Set as Default Billing Address","Marcar como Endereço de Cobrança Padrão"
"Set as Default Shipping Address","Marcar como Endereço de Entrega Padrão"
"Share Customer Accounts","Compartilhar Contas de Clientes"
"Shipped to First Name","Entregue para o Nome"
"Shipped to Last Name","Entregue para o Sobrenome"
"Shipped to Name","Entregue para"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Carrinho de %1$s - %2$d item(s)"
"Show Date of Birth","Exibir Data de Nascimento"
"Show Gender","Exibir Sexo"
"Show Middle Name (initial)","Exibir Apelido"
"Show Prefix","Exibir Prefixo"
"Show Suffix","Exibir Sufixo"
"Show Tax/VAT Number","Exibir CPF/CNPJ"
"Show VAT Number on Frontend","Exibir CPF/CNPJ no Frontend"
"Sign Up for Newsletter","Desejo receber ofertas por email"
"Skipping import row, required field ""%s"" is not defined.","Ignorar importação da linha, campo obrigatório ""%s"" não informado."
"Skipping import row, website ""%s"" field does not exist.","Ignorar importação da linha, website ""%s"" campo não existe."
"State/Province","Estado"
"Status","Status"
"Store","Loja"
"Store View","Visão"
"Street Address","Rua"
"Street Address %s","Rua %s"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe to Newsletter","Assinar Newsletter"
"Subscribed to Newsletter?","Assinar Newsletter?"
"Suffix Dropdown Options","Opções de Sufixo Combobox"
"Tag Name","Nome da Tag"
"Tax Calculation Based On","Verificar No"
"Tax Class","Grupo de Imposto"
"Tax/VAT number","Número CPF/CNPJ"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Texto Uma Linha"
"Thank you for registering with %s.","Obrigado por se registrar na %s."
"The Date of Birth is required.","Data de Nascimento é obrigatória."
"The TAX/VAT number is required.","CPF/CNPJ é obrigatório."
"The VAT ID entered (%s) is not a valid VAT ID.","O ID de imposto informado (%s) não é um ID de imposto válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","O ID de imposto informado (%s) não é um ID de imposto válido. O cliente precisa pertencer ao Grupo de Cliente %s."
"The VAT ID is valid. The current Customer Group will be used.","O ID de imposto é válido. O Grupo de Cliente atual será usado."
"The account information has been saved.","A informação da conta foi salva."
"The address does not belong to this customer.","O endereço não pertence a este cliente."
"The address has been deleted.","O endereço foi excluído."
"The address has been saved.","O endereço foi salvo."
"The customer ID and email did not match, skipping the record, line: %s","O ID do cliente e o email não conferem, ignorando registro, linha: %s"
"The customer does not have default billing address.","O cliente não possui um endereço de cobrança padrão."
"The customer email (%s) already exists, skipping the record, line: %s","O email do cliente (%s) já existe, ignorando registro, linha: %s"
"The customer group has been deleted.","O grupo do cliente foi excluído."
"The customer group has been saved.","O grupo do cliente não pode ser salvo."
"The customer is currently assigned to Customer Group %s.","O cliente atualmente faz parte do Grupo de Cliente %s."
"The first name cannot be empty.","O nome deve ser preenchido."
"The group ""%s"" cannot be deleted","O grupo ""%s"" não pode ser excluído"
"The last name cannot be empty.","O sobrenome deve ser preenchido."
"The minimum password length is %s","A senha não deve ser menor que %s"
"The password cannot be empty.","A senha deve ser preenchida."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","A senha precisa ter pelo menos 6 caracteres. Espaços a direita ou esquerda serão ignorados."
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo vem depois do nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título vem antes do nome (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Não existem produtos nos favoritos dos clientes neste momento"
"There are no items in customer's shopping cart at the moment","Não existem produtos no carrinho do cliente neste momento"
"There are no items in customer\'s shopping cart at the moment","Não existem produtos no carrinho do cliente neste momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de email. Se este email pertence a você, <a href=""%s"">clique aqui</a> para recuperar sua senha e o acesso a sua conta."
"There was an error validating the VAT ID.","Ocorreu um erro ao validar o ID do imposto."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Ocorreu um erro ao validar ID do imposto. O cliente deve pertencer ao Grupo de Cliente %s."
"This account is not confirmed.","Esta conta não foi confirmada."
"This customer email already exists.","O Email do cliente já existe."
"This customer has no saved addresses.","O cliente não possui endereços salvos."
"This email does not require confirmation.","Este Email não requer confirmação."
"This email will be sent instead of default welcome email, after account confirmation.","Este Email será enviado como Email de Boas-Vindas no lugar do Email padrão, depois da confirmação de conta."
"This is My Default %s Address","Este é meu endereço padrão %s "
"To Cart","Comprar"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Necessário marcar Sim na opção Exibir CPF/CNPJ no Frontend."
"Total","Total"
"Type","Tipo"
"Unable to save the customer.","Não foi possivel gravar os dados do cliente."
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Cancelar Newsletter"
"Update","Atualizar"
"Update customer address data","Atualizar informações de endereço do cliente"
"Update customer data","Atualizar informações de cliente"
"Use as My Default %s Address","Usar como Meu Endereço Padrão %s "
"Use as My Default Billing Address","Usar como Meu Endereço de Cobrança Padrão"
"Use as My Default Shipping Address","Usar como Meu Endereço de Entrega Padrão"
"Use as my default billing address","Usar como meu endereço de cobrança padrão"
"Use as my default shipping address","Usar como meu endereço de entrega padrão"
"VAT Number","CPF/CNPJ"
"VAT Request Date","Data de Criação do CPF"
"VAT Request Identifier","Nome de Identificação do CPF"
"Validate VAT Number","Validar Número VAT"
"Validate on Each Transaction","Validar a Cada Transação"
"Validation Error Group","Grupo com Problemas de Validação"
"View","Exibir"
"View Order","Visualizar Pedido"
"Visitor","Visitantes"
"Visitors Only","Apenas Visitantes"
"Website","Website"
"Welcome Email","Email de Boas-Vindas"
"Wishlist","Favoritos"
"Wishlist - %d item(s)","Favoritos - %d item(s)"
"Would you like to change the Customer Group for this order?","Gostaria de alterar o Grupo do Cliente para este pedido?"
"Wrong confirmation key.","Chave de confirmação errada."
"Wrong customer account specified.","Conta de cliente informada não confere."
"Wrong email.","Email Errado."
"Wrong transactional account email type.","Tipo de conta do email de transação não confere."
"YYYY","AAAA"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Você não faz parte de nenhuma lista de newsletter."
"You are currently not subscribed to our newsletter.","Você atualmente não faz parte de nossa newsletter."
"You are currently subscribed to 'General Subscription'.","Você recebe newsletter de 'Assinatura Geral'."
"You are currently subscribed to our newsletter.","Você atualmente recebe nossa newsletter."
"You are now logged out","Você foi desconectado"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sua sessão foi finalizada, em alguns segundos você será redirecionado p/ página inicial."
"You have no additional address entries in your address book.","Você não possui endereços cadastrados."
"You have no additional entries in your address book.","Você não possui outros endereços cadastrados."
"You have no default billing address in your address book.","Você não possui um endereço de cobrança cadastrado."
"You have no default entries in your address book.","Você não possui nenhum endereço padrão cadastrado."
"You have no default shipping address in your address book.","Você não possui um endereço de entrega principal."
"You have not set a default billing address.","Você não possui um endereço de cobrança padrão."
"You have not set a default shipping address.","Você não possui um endereço de entrega padrão."
"You have placed no orders yet.","Você não realizou nenhum pedido ainda."
"You have placed no products yet.","Você não pegou nenhum produto ainda."
"You will be charged tax.","Você será taxado."
"You will not be charged tax.","Você não será taxado."
"Your Tax ID cannot be validated.","Seu ID de imposto não pode ser validado."
"Your VAT ID was successfully validated.","Seu CPF/CNPJ foi validado com sucesso."
"Your account balance is: %s","O balanço da sua conta é: %s"
"ZIP","CEP"
"ZIP/Post Code","CEP"
"Zip/Postal Code","CEP"
"n/a","n/a"
"or","ou"
"register","cadastre-se"
