"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço no Carrinho de Compras baseado no atributo ""%s"" foi desabilitado."
"%s Coupon(s) have been generated","%s Cupom(s) gerado(s)"
"Actions","Ações"
"Not valid data provided","Nenhum dado válido fornecido"
"Number of Uses","Número de Usos"
"Numeric","Numérico"
"Payment Method","Forma de Pagamento"
"Percent of product price discount","Valor Percentual do Desconto %"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Subseleção de Produtos"
"Promotions","Promoções"
"Public In RSS Feed","Publicar no Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","Regra não definida"
"Sales Discount Amount","Valor de Desconto na Venda"
"Sales Subtotal Amount","Valor do Subtotal na Venda"
"Sales Total Amount","Valor do Total na Venda"
"Save and Continue Edit","Salvar e Continuar"
"Shipping Country","País de Entrega"
"Shipping Method","Forma de Entrega"
"Shipping Postcode","CEP Entrega"
"Shipping Region","Região Entrega"
"Shipping State/Province","Entrega Estado/Cidade"
"Shopping Cart Price Rule","Regra da Promoção"
"Shopping Cart Price Rules","Regras da Promoção"
"Special Price","Preço Especial"
"Specific Coupon","Cupom Específico"
"Status","Status"
"Stop Further Rules Processing","Aplicar Somente esta Regra"
"Store View Specific Labels","Legenda Específica por Visão"
"Subtotal","Subtotal"
"Subtotal Amount","Valor Subtotal"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Usos"
"To Date","Para Data"
"To Fixed Value","Valor Fixo"
"To Percentage","Porcentagem"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade de Itens Total"
"Total Weight","Peso Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não foi possível criar a qtd de cupons solicitada. Verifique as configurações e tente novamente."
"Unable to find a rule to delete.","Não foi possível encontrar a regra para excluir."
"Update prices using the following information","Atualizar preços com as seguintes informações"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Use Auto Generation","Usar Geração Automática"
"Used","Usado"
"Uses per Coupon","Usos por Cupom"
"Uses per Customer","Usos por Cliente"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Erro ao especificar regra."
"Yes","Sim"
"total amount","valor total"
"total quantity","quantidade total"
